,number_of_dialog,start_time,end_time,dialog
908,1377,"01:07:11,480","01:07:14,983",- Behold my glory. - What are you?
909,1378,"01:07:15,067","01:07:16,818",I am the clitoris.
910,1379,"01:07:17,152","01:07:19,737",The clitoris? I did it! I found the clitoris!
911,1380_1381,"01:07:19,822","01:07:24,367","Stan, you must not let Terrance and Phillip's blood be spilled on the ground."
912,1382,"01:07:24,451","01:07:26,369",Wait! You're supposed to tell me how to get Wendy to like me.
913,1383,"01:07:26,453","01:07:28,538",There are more important matters right now.
914,1384_1385,"01:07:28,622","01:07:32,333","No way, dude! I looked all over for you and now you have to tell me how to get Wendy to like me!"
915,1386,"01:07:32,418","01:07:35,169","Dude, you just have to have confidence in yourself."
916,1387,"01:07:35,254","01:07:37,839",Believe in yourself and others will believe in you.
917,1388,"01:07:37,923","01:07:40,884","Chicks love confidence. Now go, hurry!"
918,1389,"01:07:40,968","01:07:42,468",The clitoris has spoken.
919,1390,"01:07:42,553","01:07:45,054","Stan! Stan, are you okay?"
920,1391,"01:07:45,139","01:07:46,514",I see you failed in your mission.
921,1392,"01:07:46,599","01:07:49,726",I should not have sent a boy to do a man's job.
922,1393,"01:07:50,269","01:07:53,479","Come on, everyone, we've got precious little time."
923,1394,"01:07:56,358","01:07:58,651","Die, Canadian, m'kay?"
924,1395,"01:08:01,864","01:08:04,866",- Did you hear that Terrance? I farted. - You did? Just now?
925,1396,"01:08:06,744","01:08:07,785",Terrance and Phillip!
926,1397,"01:08:07,870","01:08:09,662",We have to get them to the rendezvous point!
927,1398,"01:08:09,747","01:08:11,039","Hey, it's Mr. Garrison!"
928,1399,"01:08:11,123","01:08:14,292","Children, take Mr. Hat."
929,1400,"01:08:14,376","01:08:16,586","Please, get him out of here."
930,1401,"01:08:17,171","01:08:20,840",Holy shit! This V-Chip is getting all screwy!
931,1402,"01:08:20,925","01:08:22,842",Take cover in the trench!
932,1403_1404,"01:08:22,927","01:08:27,305","All right, men! Human Shield up front, then Operation Get Behind the Darkies."
933,1405,"01:08:27,389","01:08:31,309","Remember, Human Shield, protect our tanks and planes, too!"
934,1406,"01:08:35,356","01:08:36,940",Holy mother of Jehoshaphat!
935,1407,"01:08:37,024","01:08:37,982",Fire on my command!
936,1408,"01:08:38,067","01:08:40,818","All right, squad, just like I told you."
937,1409,"01:08:41,570","01:08:44,113","One, two..."
938,1410,"01:08:44,198","01:08:46,074",Yousa people gonna die?
939,1411,"01:08:46,158","01:08:47,700",- Fire! - ...three!
940,1412,"01:08:48,535","01:08:49,744",What in the...
941,1413,"01:08:50,621","01:08:54,040","- Great plan, Chef! - Operation Human Shield, my ass!"
942,1414,"01:08:56,543","01:08:58,962","My God, this is terrible!"
943,1415,"01:08:59,046","01:09:00,755",This is what we wanted!
944,1416,"01:09:00,881","01:09:05,134",We wanted our children to be brought up in a smut-free environment!
945,1417,"01:09:05,219","01:09:07,428",But we didn't want this!
946,1418,"01:09:07,513","01:09:09,305",Where are you going?
947,1419,"01:09:09,390","01:09:11,099",We're going to find our boys!
948,1420,"01:09:11,183","01:09:14,644","For God's sake, Sheila, we're going to get them killed!"
949,1421_1422,"01:09:20,526","01:09:25,071","Kyle, all those times I said you were a big, dumb Jew, I didn't mean it. You're not a Jew."
950,1423,"01:09:26,240","01:09:28,491","Yes, I am! I am a Jew, Cartman!"
951,1424,"01:09:28,575","01:09:31,327","No, no, Kyle, don't be so hard on yourself."
952,1425,"01:09:31,412","01:09:33,663",What the hell am I still holding this for?
953,1426,"01:09:33,747","01:09:35,957",Mr. Hat! No!
954,1427,"01:09:36,041","01:09:38,876","Fuck this, dude. I'm getting out of here before I get in really big trouble."
955,1428,"01:09:38,961","01:09:40,920",- I heard that. - Stan!
956,1429_1430,"01:09:41,005","01:09:44,007","Dude, I found the clitoris, so now I think I can get Wendy to like me again."
957,1431,"01:09:44,091","01:09:45,299","Oh! That's swell, Stan."
958,1432,"01:09:45,384","01:09:46,884","Yeah, I guess all's well that ends well, huh?"
959,1433,"01:09:46,969","01:09:48,553","We can go home now, you dipshit!"
960,1434_1435,"01:09:48,637","01:09:51,347",Ow! - What's wrong with this thing? - Come on.
961,1436,"01:09:51,432","01:09:55,101",We can't let Terrance and Phillip die or else the whole world's gonna end!
962,1437,"01:09:56,437","01:09:58,521","- Terrance, look! - There they are!"
963,1438,"01:09:58,605","01:10:00,356","Oh! Phillip, we're done for!"
964,1439,"01:10:00,441","01:10:02,525","All right, men, fire!"
965,1440,"01:10:02,609","01:10:03,568","Goodbye, Terrance."
966,1441,"01:10:08,824","01:10:11,034",- What is this? - Don't shoot!
967,1442,"01:10:11,493","01:10:14,954","I'll take care of this. Kids, get out of the way now!"
968,1443,"01:10:20,461","01:10:23,713","- Kyle! - I'm not gonna let you kill them, Mom!"
969,1444,"01:10:23,797","01:10:25,006",What? What? What?
970,1445,"01:10:25,090","01:10:26,674",I'm not moving!
971,1446,"01:10:29,136","01:10:30,261","Stand down, children."
972,1447,"01:10:30,345","01:10:32,513",You can still see fart jokes on Nickelodeon.
973,1448,"01:10:32,598","01:10:35,099",No! This is about more than fart jokes!
974,1449,"01:10:35,184","01:10:39,729","This is about freedom of speech, about censorship and stuff."
975,1450,"01:10:39,813","01:10:41,022","What about Ike, huh, Mom?"
976,1451,"01:10:41,106","01:10:43,524",Did you forget that your own adopted son is Canadian?
977,1452,"01:10:44,902","01:10:48,738",I'm doing very important things.
978,1453,"01:10:48,822","01:10:51,407","But, Mom, you never took the time to talk to me."
979,1454_1455,"01:10:51,492","01:10:57,288","Whenever I get in trouble, you go off and blame everybody else, but I'm the one to blame. Deal with me."
980,1456_1457,"01:10:57,372","01:11:02,835","You keep going off and fighting all these causes, but I don't want a fighter. I want my mom."
981,1458,"01:11:06,507","01:11:08,758",Poor little fellow.
982,1459_1460_1461,"01:11:09,176","01:11:17,642","No! Terrance! - Holy shit, dude! - Young man, you watch your mouth!"
983,1462,"01:11:25,901","01:11:27,860",My time has come!
984,1463,"01:11:27,945","01:11:30,196",You are really fucked now!
985,1464,"01:11:30,280","01:11:32,698",It's Saddam Hussein! Shoot him!
986,1465,"01:11:34,201","01:11:35,827",What a dumbass!
987,1466,"01:11:39,123","01:11:41,707",You have spilled the blood of the innocent!
988,1467,"01:11:41,792","01:11:44,752",Now begins two million years of darkness!
989,1468,"01:11:44,837","01:11:47,171","Good job, Ms. Broflovski! Thanks a lot!"
990,1469,"01:11:47,256","01:11:50,633",I was just trying to make the world a better place for children.
991,1470_1471,"01:11:50,717","01:11:54,470","Yeah, and you brought enough intolerance to the world to allow my coming."
992,1472,"01:11:54,555","01:11:57,473","Now, everyone bow down to me!"
993,1473,"01:12:00,519","01:12:01,811",Bend over!
994,1474,"01:12:01,895","01:12:03,855",Whoa! What have we done?
995,1475,"01:12:03,939","01:12:06,566","Saddam, I am the dark ruler, not you."
996,1476,"01:12:06,650","01:12:08,526","Relax, bitch. You're better seen, not heard."
997,1477,"01:12:09,820","01:12:11,237",I can't.
998,1478_1479,"01:12:11,321","01:12:15,992",Let's start by building a big statue of me right over there where that fat kid is standing.
999,1480,"01:12:16,076","01:12:18,744","Hey, don't call me fat, butt-fucker!"
1000,1481,"01:12:24,543","01:12:26,419","Yeah, Cartman, do it!"
1001,1482,"01:12:26,503","01:12:29,755",Damn! Shit! Respect my fucking authority!
1002,1483_1484,"01:12:31,300","01:12:35,052","Yes! Hey! You need to watch your mouth, brat!"
1003,1485,"01:12:35,137","01:12:36,929",Dog shit taco!
1004,1486,"01:12:41,435","01:12:43,060","Quick, Satan, do something!"
1005,1487,"01:12:43,145","01:12:45,104",Try this on for size.
1006,1488,"01:12:45,647","01:12:48,941",Blood-drenched frozen tampon Popsicle!
1007,1489,"01:12:50,944","01:12:55,448","Hey, buddy, I know I was mean before, but don't worry, I can change."
1008,1490_1491_1492_1493_1494_1495,"01:12:55,741","01:13:08,711","Oh! Okay. Not! Fuck, shit, cock, ass, titties, boner, bitch, muff, pussy, cock, butthole, Barbra Streisand!"
1009,1496,"01:13:13,926","01:13:16,886","What are you waiting for, bitch? Destroy him."
1010,1497,"01:13:17,554","01:13:19,639","Come on, you weak, stupid come-bucket! Save me!"
1011,1498,"01:13:19,723","01:13:21,224",That's it!
1012,1499,"01:13:21,892","01:13:23,976",I have had enough of you!
1013,1500,"01:13:26,146","01:13:29,315","Hey, guy, relax!"
1014,1501_1502,"01:13:38,200","01:13:44,080",He spent so much time convincing me I was weak and stupid that I believed it myself.
1015,1503,"01:13:44,957","01:13:47,124","I have you to thank, little one."
1016,1504,"01:13:47,209","01:13:49,752",You showed me that I had to get away from him.
1017,1505,"01:13:49,836","01:13:53,130","Just make any wish you want, and I shall grant it."
1018,1506,"01:13:56,009","01:13:58,052","- Are you sure, Kenny? - What did he say?"
1019,1507_1508,"01:13:58,136","01:14:02,765",He said that his wish is for everything to go back to the way it was before this horrible war.
1020,1509,"01:14:02,849","01:14:06,102","Kenny, you realize that means you'd go back, too?"
1021,1510,"01:14:15,862","01:14:19,115","Oh! Very well, then. I will pull all my minions back."
1022,1511,"01:14:19,199","01:14:22,493",I guess I'm destined to live in hell. Alone.
1023,1512,"01:14:24,204","01:14:26,122",Hello. What's this?
1024,1513,"01:14:26,707","01:14:30,876","Hi, there, little guy. Would you like to go to hell with me?"
1025,1514,"01:14:31,628","01:14:35,298","Sure. I bet we could be best friends, Mr. Satan."
1026,1515,"01:14:35,382","01:14:38,301","Feel free to come back and visit us any time you want, Satan."
1027,1516,"01:14:38,385","01:14:40,136",I just might do that.
1028,1517,"01:14:40,220","01:14:41,220","Thank you, Kenny."
1029,1518,"01:14:41,305","01:14:42,555","Yeah, thanks for going back to hell for us."
1030,1519,"01:14:42,639","01:14:44,473",You're a real pal.
1031,1520,"01:14:48,895","01:14:50,688","Goodbye, you guys."
1032,1521,"01:15:03,243","01:15:05,202",I'm alive. Where's Mr. Hat?
1033,1522,"01:15:05,287","01:15:07,913",Wow! We were all dying and now we're fine!
1034,1523,"01:15:07,998","01:15:09,582",That's super!
1035,1524,"01:15:09,666","01:15:11,834",What the fuck's going on?
1036,1525_1526,"01:15:15,756","01:15:19,675","You see, Mom? After all that, it was Cartman's filthy fucking mouth that saved us all."
1037,1527,"01:15:19,760","01:15:22,803","I'm sorry I didn't pay attention to you, Kyle."
1038,1528,"01:15:25,265","01:15:26,932","But, Wendy, what about Gregory?"
1039,1529,"01:15:27,017","01:15:28,851","Stan, I never really cared for Gregory."
1040,1530,"01:15:28,935","01:15:30,644","- You didn't? - No, dude. Fuck Gregory!"
1041,1531,"01:15:30,729","01:15:34,023","- Fuck him right in the ear! - Yay! Thank you, clitoris."
1042,1532_1533_1534_1535_1536,"01:15:34,107","01:15:49,080","Everything worked out What a happy end Americans and Canadians are friends again So let's all join hands and knock oppression down Good Lordy, I'm found Don't you know our little lives are now complete?"
1043,1537_1538,"01:15:49,164","01:15:52,625",'Cause Terrance and Phillip are sweet Super sweet!
1044,1539_1540_1541_1542_1543_1544_1545_1546,"01:15:52,709","01:16:17,233","Thank God we live in this quiet Little, pissant, redneck Podunk, jerkwater Greenhorn, one-horse Mudhole, peckerwood Right-wing, whistle-stop Hobnail, truck-driving Old-fashioned, hayseed Inbred, unkempt Out-of-date, out-of-touch, white-trash Kick-ass, mountain Town!"
1045,1547_1548,"01:16:18,610","01:21:07,648","Look! Guys, up there is Hodun."
